Listing Number,Street Number,Street Number Modifier,Street Direction,Street Name,Street Suffix,Street Post Direction,Unit,City,State,Zip Code,County,Community,Area,Listing Price,Original Price,Selling Price,Status,DOM,CDOM,Bedrooms,Baths Full Total,Baths Half Total,Bathrooms,Type Of Property,Square Footage,Lot Square Footage ,Year Built,Age Restriction,Basement,Fireplaces Total,Fireplace Type,Interior Features,Floor Covering,Architecture,Parking Covered Total,Parking Type,Building Complex Or Project Name,Lot Details,Style Code,Roof,Association,Association Dues,Home Owner Dues Included,Number Of Units In Complex,Unit Features,Agent Only Comments,Marketing Comments,Heating Cooling Type,Listing Date,Water,Energy Source,Power Company,Sewer Company,Community Features,Expiration Date,Listing Agent Full Name,Listing Office Name,Listing Office Phone,Selling Date,Selling Agent Full Name,Selling Office Name,Selling Office Phone,Sale Type 
2522508,9609,,SE,Evergreen,Hwy,,,Vancouver,WA,98664,Clark,Evergreen Highway,1042 - Evergreen Hwy,1750000,1750000,,Active,0,0,3,3,0,3,,3140,37026,1965,,None,2,,"Dining Room, French Doors, Hot Tub/Spa, Security System, SMART Wired, Sprinkler System, Walk-in Closet, Wet Bar, Wine/Beverage Refrigerator","Hardwood, Laminate Tile, Wall to Wall Carpet",Mid-Century,6,"Garage-Attached, Garage-Detached",,"Dead End Street, Paved Street",10 - 1 Story,Metal,,0,,,,"Schedule showings in Aligned or ShowingTime. Seller's prefer 24 hour notice, but feel free to call/text listing agent for availability. Pre-Approval or POF required prior to approval of showing request. Listing agent will contact you after approval for lights and access codes. Pool resurfaced in 2016, all new components within last 5 years. Dual zone heating/cooling is new.  Agreement for driveway and gate on file with listing agent.","Located along Evergreen Hwy just minutes to PDX and the Vancouver Waterfront, this updated home blends mid-century character with modern design and flexible living. The 2 bed, 2 bath main home features a remodeled kitchen with gas range and a clean mid-century modern feel. Multiple living areas provide flexibility, including a third living space with gas fireplace and wet bar. The primary suite includes a walk-in closet with built-ins and direct access to a covered hot tub area that opens to the deck. A detached ADU with separate entrance inside the gated courtyard offers a bedroom, bathroom, kitchenette, and office space—ideal for guests or potential rental use. Additional features include a 36’x40’ shop with 16’ RV door, 2-car garage, and ample parking. Outdoor spaces are designed for both relaxation and entertaining with an in-ground pool, expansive decking, covered seating, outdoor kitchen, fire pit area, and river views. Mature landscaping and intentional outdoor lighting create a private retreat-like setting, while multiple indoor and outdoor gathering spaces make the property equally suited for quiet evenings or larger events. Thoughtfully remodeled over time while maintaining its architectural character, this is a rare opportunity to own a truly versatile property in one of Vancouver’s most sought-after locations.",,5/14/2026 12:00:00 AM,Public,"Electric, Natural Gas",,,Gated Entry,,Collin Petersen,Keller Williams-Premier Prtnrs,(360) 693-3336,,,,,MLS
2513579,40,,,Silver Queen,Lane,,,Cle Elum,WA,98922,Kittitas,Suncadia,948 - Upper Kittitas County,3349000,3349000,,Active,0,0,3,1,1,3,,3023,83635,2016,,None,1,,"2nd Primary BR, Bath Off Primary, Dbl Pane/Storm Windw, Dining Room, Hot Tub/Spa, Loft, Security System, Sprinkler System, Vaulted Ceilings, Walk-in Closet, Walk-in Pantry, Wet Bar, Wine Cellar, Wired for Generator","Ceramic Tile, Engineered Hardwood, Wall to Wall Carpet",Craftsman,4,Garage-Attached,Tumble Creek,"Dead End Street, Drought Res Landscpe, Paved Street",11 - 1 1/2 Story,Composition,,1066,"Common Area Maintenance, Road Maintenance, Security Services, Snow Removal",,,"Listing broker is owner and is licensed in WA State. Buyer to pay a one-time fee of 1/2 of 1% to the Suncadia Community Enhancement Fund, due at closing. Please use Showtime. Home is in Tumble Creek, a gated community and requires a pass to enter, which listing agent will provide for you. Please use NexTitle for escrow. Call Susan (509) 304-4007 Home has 2 HOA's for double lot, 1 tax parcel, homes cannot be sold separately.  Very quiet and private. Golf Membership Available","Truly unique opportunity to own a shy 2-acre home in the coveted gated community of Tumble Creek! Not only do you get a 3023 sq ft main residence, but you also get an 872 sq ft guest house, the building envelope will still allow approximately 8500 sq for a future legacy home, pool/pool house, more garage space, your own workout building, unlimited potential. The property backs directly to the tree conservancy and has the feeling of 10 acres. high end appliances, custom wood working, built in custom whiskey bar, solid beams, 50 yr roof, 300 bottle chilled wine cellar, Sonos music, beautiful interior stone accents, cedar ceilings, oversized 3 car garage, guest house has 1 car garage with EV hookup, large under cover patios with heat lamps. Very private and quiet area of the community, the center piece is the top rated private Doak golf course, with access to the Great House and all its amenities, including the Hill house recreation building with pools & work out center, miles of trails, with parks, walk to the river out your back door. Imagine driving your golf cart from your home right to the golf course or to dinner at neighbors! Home and guest home come fully furnished, most all furnishings are less than 3 years old. All 5 TV's are upgraded & convey with the home. On demand 20k natural gas generator for peace of mind.  Enjoy your sun-drenched yard with a mix of pines & natural grassy meadow.  It is a great time of year to start your new journey in Tumble Creek!!",,5/14/2026 12:00:00 AM,Public,"Electric, Natural Gas",PSE,Suncadia,"Athletic Court, CCRs, Clubhouse, Gated Entry, Golf Course, Park, Playground, Trails",,Susan West,John L. Scott RE Cle Elum,(509) 674-4495,,,,,MLS
2522180,18610,,,10th Ave NE,,,,Poulsbo,WA,98370,Kitsap,Poulsbo,166 - Poulsbo,539000,539000,,Active,0,0,3,1,0,1.75,,1252,10019,1978,,None,0,,,"Ceramic Tile, Vinyl Plank",,1,"Carport-Attached, Off Street",,"Paved Street, Sidewalk",10 - 1 Story,Composition,,0,,,,"Please use Chicago Title for T&E, Sabrina Wastweet Sabrina.Wastweet@ctt.com for escrow. Please CC Summer on all offers at summer@hearttohometc.com Kindly schedule all showings through ST. Pre-listing home inspection attached in supplements. Text Ashley with any questions 360-860-1031. Offers due by Monday 5/18/26 at 2pm. ***Lockbox will be on by 9:30am***","What are you waiting for-one level living in town! Imagine coming home to breathtaking Olympic Mountain sunsets in the heart of Poulsbo. This meticulously cared-for 3-bedroom home with a bonus room welcomes you with sunlit living spaces adorned with alder trim, built-ins, and updated finishes, including 1.75 baths with a newly remodeled bathroom that exudes modern elegance. The converted bonus room offers versatile space for a home office, creative pursuits, or quiet relaxation, while central A/C keeps every season comfortable. Step outside into your fully fenced backyard, a private sanctuary for gardening, play, or evening gatherings. Just around the corner, a charming path leads you directly to a neighborhood park, blending convenience with lifestyle. Perfectly positioned to stroll downtown Poulsbo, enjoy easy access to quaint shops, cafes, and waterfront charm. Top-rated schools, the Bainbridge Island ferry, and local amenities are all just minutes away, making this home a true balance of serenity, community, and modern living. Every detail invites you to live fully, whether savoring quiet evenings, entertaining loved ones, or simply soaking in the view. This sunset retreat is not just a home; it is a lifestyle waiting to be claimed.",,5/14/2026 12:00:00 AM,Public,Electric,PSE,City of Poulsbo,,,Ashley Grimes,Windermere RE West Sound Inc.,(360) 779-5205,,,,,MLS
2523503,2710,,N,Washington,St,,,Tacoma,WA,98407,Pierce,Proctor,18 - North Tacoma,849950,849950,,Active,0,0,3,1,0,1.75,,2832,2250,1900,,,0,,"Ceiling Fan(s), Dbl Pane/Storm Windw, Dining Room","Ceramic Tile, Hardwood, Vinyl, Wall to Wall Carpet, Vinyl Plank",,1,"Garage-Attached, Off Street",,"Alley, Curbs, Drought Res Landscpe, Paved Street, Sidewalk",18 - 2 Stories w/Bsmnt,"Composition, Flat",,0,,,,"This is a very active Airbnb so please wait for approval before showing as we are working around Airbnb guest. Title and Escrow to be Equity Title of Washington Hannah smith closer of the Giamatti team (Giamattiteam@equitywa.com) Listed in 2015 with the following remarks: newer roof, insulation, windows, plumbing and electrical bonus room slants slightly on purpose, not due to settling. Sign and key box to be installed by 5/15 please call first for access code.","In the heart of the Proctor, this elegant 2-story Victorian Row home with basement offers the perfect blend of character, comfort and opportunity. Featuring 3 bedrooms, 1.75 baths, plus a bonus bedroom, this versatile layout fits a variety of lifestyles. The basement includes a 1-car garage, with an additional parking space tucked behind the private outdoor patio off the alleyway. Interior upgrades include stainless steel appliances, crown molding, new flooring and LED lighting throughout. The living room creates a one-of-a-kind experience with Phillips Hue smart lighting that syncs to the movie you’re watching. Step outside to a cozy outdoor space ideal for relaxing or hosting guests. Enjoy amazing Puget Sound views and an unbeatable location close to shops, dining, and all the Proctor District has to offer. Unique bonus opportunity: this residence can also operate as a proven turnkey Airbnb with a 4.91 rating and cash-flow potential—just ask for details!",,5/14/2026 12:00:00 AM,Public,Electric,,,,,JJ Kovach,Kelly Right RE of Seattle LLC,(206) 525-5235,,,,,MLS
2521760,4933,,,Diana,Ct,SE,17,Auburn,WA,98092,King,Lakeland,310 - Auburn,625000,625000,,Active,0,0,5,3,1,3.5,,2333,,2005,,,1,,,"Hardwood, Vinyl Plank",Craftsman,2,"Individual Garage, Uncovered",Vista Heights,"Cul-de-sac, Curbs, Dead End Street, Paved Street, Secluded, Sidewalk",34 - Condo (3 Levels),Composition,,55,"Common Area Maintenance, See Remarks",83,"Alarm System, Balcony/Deck/Patio, French Doors, Ground Floor, Jetted/Soaking Tub, Primary Bath, Top Floor, Walk-in Closet, Yard, Walk-in Pantry","Share 3D Walkthrough/Matterport Tour! Fidelity Title & Escrow, Team Tamara Tissue. Please use ShowingTime. Buyer to verify all information to their satisfaction. Excluded Items: Washer, Dryer, Curtains & Rods, TVs & Wall Brackets. Use Condo PSA-Form 28 w/MLS#2521760. Property is double listed in residential #.","Nestled on a quiet cul-de-sac in the sought-after Vista Heights community at Lakeland Hills, this standalone townhome lives like a true single-family home with no shared walls, 5 bedrooms, 3.5 baths, and 2,333 sq ft of thoughtfully designed living space. Step inside to soaring 10-foot ceilings, dazzling pendant lighting, and rich Brazilian Cherry hardwood floors that flow through the entry, living room, and dining room. The gas fireplace and statement chandelier anchor the living space, while oversized windows fill the home with natural light. The covered deck off the living room captures beautiful sunset views. The well-appointed kitchen features granite countertops, full-height backsplash, a generous walk-in pantry with glass door, updated stainless steel appliances, a stainless hood vent, insta-hot, and an oversized breakfast bar. The primary suite overlooks the greenbelt and opens through French doors to a 5-piece en-suite bath with updated hardware and a large walk-in closet. A loft landing leads to two additional upstairs bedrooms, while the lower level offers a full bath and two additional bedrooms that step out to the extended covered patio. The larger lower bedroom has served as a rec room and gym, with strong potential for a multi-generational suite or kitchenette conversion. The fully fenced backyard features no-maintenance turf, a covered patio, storage shed, and greenbelt views. Low HOA of just $55/month cover common area maintenance. Served by Auburn Schools.",,5/14/2026 12:00:00 AM,,"Electric, Natural Gas",Puget Sound Energy,City of Auburn,,,Kimber Lee,John L. Scott R.E. Lake Tapps,(253) 863-4406 x347,,,,,MLS
2522018,19203,,,40th,Ave,W,A4,Lynnwood,WA,98036,Snohomish,Alderwood,730 - Southwest Snohomish,419995,419995,,Active,0,0,2,1,1,1.5,,1140,3485,1979,,,1,,,Laminate Hardwood,,1,"Individual Garage, Uncovered",Royalwood Estates,"Curbs, Paved Street",32 - Townhouse,Composition,,541,"Common Area Maintenance, Earthquake Ins., Garbage, Lawn Service, Road Maintenance, Sewer, Snow Removal, Water",30,"Balcony/Deck/Patio, Ground Floor, Insulated Windows, Skylights, Walk-in Closet",Vacant with instant approval on Showingtime. Please do NOT leave business cards. Showingtime feedback is greatly appreicated. Please use Stewart Title - Chillie Ambrose teamchillie@stewart.com (file 2904440). Inspection report uploaded to suplements. Sign on unit door. Call listing agent with questions.,"This charming, well-cared-for townhouse offers a perfect blend of comfort and style. The main living area features a cozy wood-burning fireplace for evening relaxiation, a sizable wood deck, perfect for morning coffee, a seperate dining area, and an updated kitchen. The kitchen is ready for its next chef with a brand-new stove and microwave, plus a built-in wine fridge! Upstairs, you’ll find two spacious bedrooms an extra finished space, waithing for your concept. Storage is never an issue here; between closets, cabinets, and the attached one-car garage, there’s a place for everything. Don't miss the storage above the garage! Located in a quiet, established community, this home has been meticulously maintained and is truly move-in ready. Whether you're looking for your first home or a low-maintenance retreat, this townhouse checks every box. Come see it for yourself before it’s gone!",,5/14/2026 12:00:00 AM,,Electric,Snohomish County PUD,City of Lynnwood -HOA,,,Jim Tinsley,The Agency Northwest,(425) 651-2602,,,,,MLS
2520604,405,,,South,St,,,Port Orchard,WA,98366,Kitsap,South Kitsap,143 - Port Orchard,544990,544990,,Active,0,0,4,2,0,2,,2000,7405,1955,,Daylight,2,,"Dbl Pane/Storm Windw, Vaulted Ceilings","Ceramic Tile, Vinyl Plank",,1,Garage-Attached,,"Corner Lot, Paved Street",16 - 1 Story w/Bsmnt.,Flat,,0,,,,"Use ShowingTime to avoid overlap, 2 hour notice preferred. Direct any questions to Jenn Owens 360-228-2611.  * Note Form 17 disclosure on prior damage to the home.  All repairs have been done by licensed contractors.  Home is ready for your buyers!  * 3D/Floorplan/Video are all attached to the listing. Prelim w/Amber Casellini @ Land Title.","This gorgeous 4-bedroom home in Port Orchard is ""The One""!  Think of this home as charm meets modern updates!  Every part of this beautiful home has been completely renovated!  Step into the spacious great room, or walk out onto the front deck, overlooking the amazing flower gardens and large front yard.  You will love the wood ceilings, exposed beams, the bright open living space and cozy fireplace are the perfect place to unwind.  Entertaining is easy in the sparkling kitchen and dining room.  Don't miss the bonus living and flex spaces downstairs, along with a second fireplace for those winter months.  With a large yard, planter boxes, and ample parking, this house is a truly comfortable home where you can kick back and relax, whether you're inside or out.  This home is just minutes to Hwy 16 and a quick drive to PSNS and local ferries.  Buy for as low as $0 down, this home qualifies for VA financing!",,5/14/2026 12:00:00 AM,Public,Electric,PSE,City of Port Orchard,,,Doug Miller,SKP,(360) 329-9440,,,,,MLS
2523660,29258,,,305th,Ct,SE,,Ravensdale,WA,98051,King,Ravensdale,320 - Black Diamond/Maple Valley,2500000,2500000,,Active,0,0,5,3,3,5.25,,5300,377513,2003,,None,2,,"2nd Primary BR, Bath Off Primary, Built-In Vacuum, Ceiling Fan(s), Dbl Pane/Storm Windw, Dining Room, French Doors, High Tech Cabling, Hot Tub/Spa, Loft, Skylights, Solarium/Atrium, Sprinkler System, Vaulted Ceilings, Walk-in Closet, Walk-in Pantry, Wine/Beverage Refrigerator, Wired for Generator","Ceramic Tile, Engineered Hardwood, Laminate, Vinyl, Wall to Wall Carpet",,11,"Garage-Attached, Garage-Detached",,"Dead End Street, Open Space, Secluded",12 - 2 Story,Composition,,0,,,,"2-hour notice required prior to showing. Gated entry code available in ShowingTime. Please remove shoes, turn off lights and lock up after showing. Use Chicago Title/Escrow, Katia Chmait. See supplemental pages for additional features and please include supplemental pages when writing an offer. Property sold as one package on one tax parcel with two homes. Main home has had only two owners. DADU was built in 2020. Don't forget to view the massive shop, call with any questions.","Tucked inside a private gated Ravensdale community, this rare two-home estate is the kind of property people hope exists but almost never find. Private, peaceful & beautifully dialed in, both homes are pristine, truly turnkey & updated throughout. The main home features 4 beds, 3.5 baths, newer carpet, newer roof & a spacious custom layout designed for real life, gathering, relaxing & making room for what comes next. Just off the entry, the French-door den adds flexible space for work, guests or a quiet retreat. Enjoy a large kitchen w/granite counters, stainless appliances, walk-in pantry, center island and butlery pass-through to dining. You will love the family room w/fireplace and light-filled sunroom. The main-level primary suite offers a soaking tub, dual vanity and walk-in closet, while upstairs includes Jack and Jill baths, secondary primary suite w/ensuite or flex room + a loft and bonus room. Stay cool w/AC while enjoying multiple exterior living areas, including a party-sized trex deck. The 3-car garage includes a surprise wine room & easy crawlspace access. Across the property, the high-end cottage-style DADU feels like its own private retreat w/over 1,000 sq ft, 1 bed plus office, 1.5 baths, vaulted ceilings, heated primary bath floors, covered heated patio w/hot tub & attached heated 4-car garage. Add the 32 x 40 shop w/heat source, bath & internet, plus 2,200 sq ft sport court, RV dump station & additional covered parking. Sold as one tax parcel. Exceptional!!",,5/14/2026 12:00:00 AM,Individual Well,"Electric, Propane",PSE,Septic,"Gated Entry, Trails",,Brooke Ashley,PRO RLTYSRVCS Eastside,(888) 302-5550,,,,,MLS
2523267,8602,,,164th,St Ct,E,,Puyallup,WA,98375,Pierce,Gem Heights,88 - Puyallup,629000,629000,,Active,0,0,4,1,1,2.25,,2205,9562,1990,,None,1,,"Bath Off Primary, Dining Room, French Doors, Walk-in Closet, Walk-in Pantry",Laminate Hardwood,,2,Garage-Attached,,Cul-de-sac,12 - 2 Story,Composition,,40,Road Maintenance,,,"Please remove shoes before entering the property. Old Republic Title and Escrow and if ever make an offer allow 2 days for sellers response , one is out of state.","Gorgeously updated home in the highly desirable Gem Stone neighborhood! The main floor features a grand entry, living/dining room, generous great room with cozy brick fireplace and spacious kitchen, plus a bedroom and 1/2 bath. Upstairs boasts 2 more bedrooms, a full bathroom and the massive primary suite. The suite includes a large room, plus a flex space, giant walk in closet and huge bathroom. The fully fenced backyard provides many entertaining areas, lush landscaping, and privacy. Newly installed Jacuzzi and huge porch for gatherings. Well maintain house a must see .",,5/14/2026 12:00:00 AM,Public,"Electric, Natural Gas",PSE,Septic,,,Cora R. Cruspero,AgencyOne,(425) 772-7500,,,,,MLS
2518575,131,,S,324th,Place,,,Federal Way,WA,98003,King,West Campus,110 - Dash Point/Federal Way,350000,350000,,Active,0,0,2,1,0,1.75,,1241,,1978,,,1,,,"Ceramic Tile, Laminate Hardwood, Wall to Wall Carpet",Townhouse,2,"Individual Garage, Off Street",Colonial Forest,"Curbs, Paved Street, Sidewalk",30 - Condo (1 Level),Composition,,497,"Cable TV, Common Area Maintenance, Lawn Service, Road Maintenance, Sewer, Water",155,"Balcony/Deck/Patio, End Unit, Ground Floor, Insulated Windows, Primary Bath, Sprinkler System, Walk-in Closet, Yard","Title and Escrow – First American. Inspection Report, HOA docs, and resale certificate available after showing.  Home is owner occupied – please allow one hour for showing confirmation.  No sign post due to HOA restrictions. Keybox is located on stair railing. Contact friendly listing agent with any questions.","Welcome home to this beautifully kept 2-bedroom, 1.75 bath townhome that lives like a single-family home! A quiet end unit in the desirable Colonial Forest community - this home offers peaceful surroundings away from the main street, while still being just minutes from shopping, dining, parks, and major commuter routes. Enjoy having all of your main living space on one level, with the bonus of a finished room downstairs, already plumbed and full of possibilities! It’s perfect for a home office, guest space, hobby room, or ……  The HUGE garage offers tandem parking for 2 cars plus abundant room for storage, workshop space, or outdoor tools and gear. In addition to your garage space, there are also 2 designated parking spots outside the garage, as well as ample curbside parking along the street.  Main floor includes 2 bedrooms, each with a walk-in closet, 2 baths, a bright kitchen with a gas range, and a spacious living room.  Step outside to two large private decks where you can relax and enjoy the lush, beautiful gardens. Have a green thumb?  You can choose to nurture your garden space yourself or simply let the HOA maintain it and just enjoy the view! **Pre-Inspection has already been completed AND…THIS HOME QUAILIFIES FOR A $10,000 DOWN PAYMENT GRANT! …PLUS UP TO $5,000 TOWARD CLOSING COSTS! Ask the Listing Agent for details! This condo community is FHA and VA approved. Priced to sell, this is one you won’t want to miss!!",,5/14/2026 12:00:00 AM,,"Electric, Natural Gas",Puget Sound Energy,Covered by HOA,,,Mika Praven,COMPASS,(206) 623-5118,,,,,MLS
